Area,2015-16,2016-17,2017-18,2018-19,2019-20
St Albans - North,"19,461","18,763","18,480","19,598","20,025"
St Albans - South,"20,107","19,014","19,543","20,000","20,807"
Sunshine,"19,703","19,259","19,671","19,758","20,276"
Sunshine North,"21,063","22,101","21,703","22,034","23,575"
Sunshine West,"22,083","21,852","21,764","21,643","24,509"
Sydenham,"25,000","25,776","26,124","26,905","28,428"
Taylors Lakes,"27,995","27,277","29,997","30,360","32,248"
Altona,"29,584","30,636","31,564","34,477","38,633"
Altona Meadows,"29,277","28,662","30,588","31,200","33,846"
Altona North,"27,998","28,376","28,560","30,278","34,582"
Newport,"34,678","35,826","36,938","38,578","42,501"
Seabrook,"30,279","30,200","30,628","31,202","33,642"
Williamstown,"29,693","31,037","32,332","33,073","35,868"
Braybrook,"19,995","20,021","19,926","20,609","22,282"
Footscray,"17,567","18,129","19,253","20,360","21,135"
Maribyrnong,"24,528","24,078","24,751","25,816","27,927"
Seddon - Kingsville,"30,251","30,601","30,964","34,175","37,408"
West Footscray - Tottenham,"22,370","22,550","23,720","23,987","27,355"
Yarraville,"32,347","34,077","34,778","36,376","40,622"
Bacchus Marsh,"29,199","29,719","31,367","32,839","34,454"
Hillside,"30,193","30,407","30,934","31,829","33,922"
Melton,"25,636","25,276","25,595","27,125","29,741"
Melton South,"26,408","25,733","26,860","26,217","28,458"
Melton West,"26,785","24,648","27,563","28,187","30,493"
Rockbank - Mount Cottrell,"20,451","22,337","26,594","27,509","29,500"
Taylors Hill,"30,703","31,680","31,764","32,670","33,742"
Burnside,"29,267","29,945","30,082","30,180","33,665"
Burnside Heights,"29,758","29,598","31,425","30,375","34,064"
Caroline Springs,"31,375","30,610","30,702","30,925","32,932"
Hoppers Crossing - North,"25,955","25,204","25,499","26,376","28,229"
Hoppers Crossing - South,"25,004","24,131","23,429","24,433","25,574"
Laverton,"24,482","22,614","23,125","22,603","23,901"
Tarneit,"26,146","25,089","24,297","24,054","25,199"
Truganina,"25,059","24,602","24,564","25,000","25,415"
Werribee - South,"26,004","26,000","27,667","28,264","30,000"
Wyndham Vale,"27,795","26,719","28,085","28,615","31,526"
Point Cook - East,"28,121","26,731","27,115","27,995","30,000"
Point Cook - North,"31,914","31,352","30,651","32,386","34,084"
Point Cook - South,"33,302","30,788","33,481","33,806","35,752"
Werribee - East,"24,060","23,625","24,528","24,898","26,855"
Werribee - West,"28,150","27,774","28,416","28,500","30,303"
Carrum Downs,"28,081","29,358","30,509","31,235","33,839"
Frankston,"23,319","23,803","24,861","26,044","28,341"
Frankston North,"24,651","24,526","25,685","25,341","28,788"
Frankston South,"27,211","27,226","28,635","29,175","32,134"
Langwarrin,"27,929","29,170","30,156","31,672","34,116"
Seaford (Vic.),"27,901","28,866","29,477","30,304","33,248"
Skye - Sandhurst,"31,135","32,322","33,432","33,394","36,131"
Dromana,"22,749","22,701","24,287","23,715","27,171"
Flinders,"19,202","19,052","20,887","20,000","24,006"
Hastings - Somers,"23,255","24,009","25,464","25,923","28,683"
Mornington,"23,967","24,449","25,683","26,165","29,346"
Mount Eliza,"27,238","27,346","27,126","28,587","30,822"
Mount Martha,"25,029","26,654","27,298","26,699","28,600"
Point Nepean,"20,000","20,399","22,342","21,745","24,229"
Rosebud - McCrae,"21,084","20,637","22,353","22,433","24,436"
Somerville,"26,451","26,481","27,483","28,432","30,907"
Ararat,"20,976","21,561","21,619","24,316","23,452"
Ararat Region,"11,038","14,820","14,746","16,503","17,282"
Horsham,"20,053","20,749","22,004","23,159","25,744"
