 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Taylors Lakes,0,0,0.8,0.1,1,0.6,1.5,0.8,0.8,0.2,0.7,0.2,0.9,1.3,0.7,1,1.2,0.3,0.4,13.1,Brimbank
Altona,0,0,0.5,0.1,0.6,0.5,0.8,0.6,0.5,0.2,0.5,0.2,0.9,1,0.7,0.8,1,0.2,0.3,9.8,Hobsons Bay
Altona Meadows,0,0,0.9,0.1,0.9,0.7,1.3,0.9,0.8,0.2,0.7,0.3,1,1.7,0.8,0.9,1.4,0.3,0.4,13.5,Hobsons Bay
Altona North,0,0,0.5,0.1,0.7,0.5,0.9,0.6,0.5,0.2,0.6,0.2,0.8,1.2,0.5,0.7,0.9,0.2,0.3,9.6,Hobsons Bay
Newport,0.1,0,0.6,0.2,0.9,0.6,1,1,0.6,0.4,0.9,0.3,1.6,1.4,1,1.4,1.5,0.4,0.4,14.8,Hobsons Bay
Seabrook,0,0,0.2,0,0.3,0.1,0.4,0.2,0.2,0.1,0.2,0.1,0.3,0.5,0.2,0.2,0.3,0.1,0.1,3.7,Hobsons Bay
Williamstown,0,0,0.5,0.1,0.6,0.5,0.9,0.9,0.4,0.3,0.7,0.3,1.4,1,0.8,1.3,1.2,0.4,0.4,12,Hobsons Bay
Braybrook,0.1,0,0.9,0.1,0.6,0.6,1.6,1.7,0.5,0.2,0.8,0.2,1.1,2.3,0.7,0.8,1.5,0.4,0.6,15,Maribyrnong
Footscray,0.1,0,0.6,0.1,0.5,0.5,1.3,2.2,0.4,0.4,0.7,0.3,1.6,2.6,0.9,1.4,1.7,0.5,0.6,16.8,Maribyrnong
Maribyrnong,0.1,0,0.5,0.1,0.4,0.5,1.3,1.1,0.4,0.3,0.6,0.2,1,1.4,0.6,0.8,1.2,0.4,0.3,11.5,Maribyrnong
Seddon - Kingsville,0,0,0.3,0.1,0.3,0.3,0.5,0.7,0.2,0.3,0.4,0.1,0.9,0.9,0.5,0.9,0.8,0.3,0.3,8,Maribyrnong
West Footscray - Tottenham,0,0,0.4,0.1,0.4,0.3,0.8,1.1,0.3,0.3,0.5,0.2,1,1.4,0.7,0.9,1,0.3,0.3,10.3,Maribyrnong
Yarraville,0,0,0.5,0.1,0.6,0.5,1,0.9,0.4,0.5,0.7,0.2,1.6,1.3,0.8,1.3,1.3,0.4,0.4,12.9,Maribyrnong
Bacchus Marsh,0.2,0.1,0.9,0.2,1.8,0.6,1.5,1.1,1.1,0.2,0.7,0.3,0.9,1.5,1.2,1.3,1.8,0.3,0.5,16.5,Moorabool
Hillside,0,0,1.1,0.2,1.5,0.8,2,1.2,1.1,0.3,0.9,0.3,1.1,1.9,0.9,1.2,2,0.4,0.5,17.9,Melton
Melton,0.1,0,0.8,0.1,1.1,0.5,1.3,0.8,1,0.1,0.5,0.3,0.5,1.8,0.6,0.7,1.4,0.2,0.4,12.5,Melton
