Area,2015-16,2016-17,2017-18,2018-19,2019-20,Lga
Carrum Downs,16.3,16.8,17.4,18.2,17.9,Wyndham
Frankston,17,17.8,18.4,19,18.5,Frankston
Frankston North,12.8,13.3,13.7,14.3,13.7,Frankston
Frankston South,14.3,14.6,14.6,14.7,14.4,Frankston
Langwarrin,20,20.2,20.4,20.7,20.1,Frankston
Seaford (Vic.),12.9,13.3,13.4,13.6,13.4,Frankston
Skye - Sandhurst,10.5,10.8,11,11.3,11.1,Frankston
Dromana,7.8,8.5,8.6,9.1,8.9,Mornington Peninsula
Flinders,4.3,4.4,4.4,4.4,4.3,Mornington Peninsula
Hastings - Somers,15.6,16,16.3,16.9,16.8,Mornington Peninsula
Mornington,17.2,17.9,18,18.4,18,Mornington Peninsula
Mount Eliza,13.4,13.7,14.1,14,13.8,Mornington Peninsula
Mount Martha,13.9,14.1,14.3,14.7,14.5,Mornington Peninsula
Point Nepean,12.2,12.5,12.5,12.9,12.9,Mornington Peninsula
Rosebud - McCrae,13.1,13.7,14,14.4,14.5,Mornington Peninsula
Somerville,14.8,15.3,15.3,15.6,15,Mornington Peninsula
Ararat,5.6,5.7,6,5.9,5.9,Ararat Rural
Ararat Region,2.8,2.8,2.9,2.9,2.9,Ararat Rural
